RATIOS-
[0.18965060878771836, 0.1864081524616199, 0.18680518793012177, 0.18667284277395446, 0.18647432503970354]

MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 ngram_notes         2                   5                   identity            False               False               [('0.241', '0.278'), ('0.264', '0.186'), ('0.249', '0.253'), ('0.245', '0.270'), ('0.249', '0.244')]('0.2496', '0.2462')
MLP                 ngram_notes         2                   5                   identity            False               False               [('0.241', '0.278'), ('0.264', '0.186'), ('0.249', '0.253'), ('0.245', '0.270'), ('0.249', '0.244')]('0.2496', '0.2462')
MLP                 ngram_notes         2                   6                   identity            False               False               [('0.242', '0.273'), ('0.264', '0.188'), ('0.252', '0.251'), ('0.245', '0.271'), ('0.251', '0.249')]('0.2508', '0.2464')
MLP                 ngram_notes         2                   6                   identity            False               False               [('0.242', '0.273'), ('0.264', '0.188'), ('0.252', '0.251'), ('0.245', '0.271'), ('0.251', '0.249')]('0.2508', '0.2464')
MLP                 ngram_notes         2                   6                   identity            False               False               [('0.242', '0.273'), ('0.264', '0.188'), ('0.252', '0.251'), ('0.245', '0.271'), ('0.251', '0.249')]('0.2508', '0.2464')
MLP                 ngram_notes         2                   7                   identity            False               False               [('0.245', '0.273'), ('0.268', '0.188'), ('0.255', '0.247'), ('0.246', '0.271'), ('0.255', '0.241')]('0.2538', '0.2440')
MLP                 ngram_notes         2                   7                   identity            False               False               [('0.245', '0.273'), ('0.268', '0.188'), ('0.255', '0.247'), ('0.246', '0.271'), ('0.255', '0.241')]('0.2538', '0.2440')
MLP                 ngram_notes         2                   7                   identity            False               False               [('0.245', '0.273'), ('0.268', '0.188'), ('0.255', '0.247'), ('0.246', '0.271'), ('0.255', '0.241')]('0.2538', '0.2440')
MLP                 ngram_notes         2                   8                   identity            False               False               [('0.248', '0.281'), ('0.268', '0.187'), ('0.257', '0.243'), ('0.247', '0.277'), ('0.255', '0.236')]('0.2550', '0.2448')
MLP                 ngram_notes         2                   8                   identity            False               False               [('0.248', '0.281'), ('0.268', '0.187'), ('0.257', '0.243'), ('0.247', '0.277'), ('0.255', '0.236')]('0.2550', '0.2448')
MLP                 ngram_notes         2                   8                   identity            False               False               [('0.248', '0.281'), ('0.268', '0.187'), ('0.257', '0.243'), ('0.247', '0.277'), ('0.255', '0.236')]('0.2550', '0.2448')
MLP                 ngram_notes         3                   1                   identity            False               False               [('0.236', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]('0.2434', '0.2478')
MLP                 ngram_notes         3                   1                   identity            False               False               [('0.236', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]('0.2434', '0.2478')
MLP                 ngram_notes         3                   1                   identity            False               False               [('0.236', '0.282'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.238', '0.270'), ('0.244', '0.244')]('0.2434', '0.2478')
MLP                 ngram_notes         3                   2                   identity            False               False               [('0.240', '0.280'), ('0.261', '0.183'), ('0.244', '0.259'), ('0.239', '0.275'), ('0.247', '0.247')]('0.2462', '0.2488')
MLP                 ngram_notes         3                   2                   identity            False               False               [('0.240', '0.280'), ('0.261', '0.183'), ('0.244', '0.259'), ('0.239', '0.275'), ('0.247', '0.247')]('0.2462', '0.2488')
MLP                 ngram_notes         3                   2                   identity            False               False               [('0.240', '0.280'), ('0.261', '0.183'), ('0.244', '0.259'), ('0.239', '0.275'), ('0.247', '0.247')]('0.2462', '0.2488')
MLP                 ngram_notes         3                   3                   identity            False               False               [('0.241', '0.263'), ('0.262', '0.187'), ('0.247', '0.261'), ('0.242', '0.270'), ('0.250', '0.251')]('0.2484', '0.2464')
MLP                 ngram_notes         3                   3                   identity            False               False               [('0.241', '0.263'), ('0.262', '0.187'), ('0.247', '0.261'), ('0.242', '0.270'), ('0.250', '0.251')]('0.2484', '0.2464')
MLP                 ngram_notes         3                   3                   identity            False               False               [('0.241', '0.263'), ('0.262', '0.187'), ('0.247', '0.261'), ('0.242', '0.270'), ('0.250', '0.251')]('0.2484', '0.2464')
MLP                 ngram_notes         3                   4                   identity            False               False               [('0.243', '0.264'), ('0.264', '0.185'), ('0.248', '0.257'), ('0.247', '0.264'), ('0.251', '0.244')]('0.2506', '0.2428')
MLP                 ngram_notes         3                   4                   identity            False               False               [('0.243', '0.264'), ('0.264', '0.185'), ('0.248', '0.257'), ('0.247', '0.264'), ('0.251', '0.244')]('0.2506', '0.2428')
MLP                 ngram_notes         3                   4                   identity            False               False               [('0.243', '0.264'), ('0.264', '0.185'), ('0.248', '0.257'), ('0.247', '0.264'), ('0.251', '0.244')]('0.2506', '0.2428')
MLP                 ngram_notes         3                   5                   identity            False               False               [('0.245', '0.261'), ('0.265', '0.188'), ('0.250', '0.254'), ('0.246', '0.264'), ('0.250', '0.245')]('0.2512', '0.2424')
MLP                 ngram_notes         3                   5                   identity            False               False               [('0.245', '0.261'), ('0.265', '0.188'), ('0.250', '0.254'), ('0.246', '0.264'), ('0.250', '0.245')]('0.2512', '0.2424')
MLP                 ngram_notes         3                   5                   identity            False               False               [('0.245', '0.261'), ('0.265', '0.188'), ('0.250', '0.254'), ('0.246', '0.264'), ('0.250', '0.245')]('0.2512', '0.2424')
MLP                 ngram_notes         3                   6                   identity            False               False               [('0.244', '0.262'), ('0.266', '0.188'), ('0.252', '0.256'), ('0.249', '0.263'), ('0.253', '0.242')]('0.2528', '0.2422')
MLP                 ngram_notes         3                   6                   identity            False               False               [('0.244', '0.262'), ('0.266', '0.188'), ('0.252', '0.256'), ('0.249', '0.263'), ('0.253', '0.242')]('0.2528', '0.2422')
MLP                 ngram_notes         3                   6                   identity            False               False               [('0.244', '0.262'), ('0.266', '0.188'), ('0.252', '0.256'), ('0.249', '0.263'), ('0.253', '0.242')]('0.2528', '0.2422')
MLP                 ngram_notes         3                   7                   identity            False               False               [('0.249', '0.262'), ('0.267', '0.190'), ('0.257', '0.246'), ('0.251', '0.263'), ('0.256', '0.244')]('0.2560', '0.2410')
MLP                 ngram_notes         3                   7                   identity            False               False               [('0.249', '0.262'), ('0.267', '0.190'), ('0.257', '0.246'), ('0.251', '0.263'), ('0.256', '0.244')]('0.2560', '0.2410')
MLP                 ngram_notes         3                   7                   identity            False               False               [('0.249', '0.262'), ('0.267', '0.190'), ('0.257', '0.246'), ('0.251', '0.263'), ('0.256', '0.244')]('0.2560', '0.2410')
MLP                 ngram_notes         3                   8                   identity            False               False               [('0.250', '0.265'), ('0.268', '0.187'), ('0.255', '0.241'), ('0.252', '0.270'), ('0.260', '0.232')]('0.2570', '0.2390')
MLP                 ngram_notes         3                   8                   identity            False               False               [('0.250', '0.265'), ('0.268', '0.187'), ('0.255', '0.241'), ('0.252', '0.270'), ('0.260', '0.232')]('0.2570', '0.2390')
MLP                 ngram_notes         3                   8                   identity            False               False               [('0.250', '0.265'), ('0.268', '0.187'), ('0.255', '0.241'), ('0.252', '0.270'), ('0.260', '0.232')]('0.2570', '0.2390')
MLP                 ngram_notes         4                   1                   identity            False               False               [('0.237', '0.284'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.240', '0.272'), ('0.244', '0.244')]('0.2440', '0.2486')
MLP                 ngram_notes         4                   1                   identity            False               False               [('0.237', '0.284'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.240', '0.272'), ('0.244', '0.244')]('0.2440', '0.2486')
MLP                 ngram_notes         4                   1                   identity            False               False               [('0.237', '0.284'), ('0.259', '0.181'), ('0.240', '0.262'), ('0.240', '0.272'), ('0.244', '0.244')]('0.2440', '0.2486')
MLP                 ngram_notes         4                   2                   identity            False               False               [('0.243', '0.279'), ('0.263', '0.185'), ('0.246', '0.264'), ('0.244', '0.268'), ('0.248', '0.256')]('0.2488', '0.2504')
MLP                 ngram_notes         4                   2                   identity            False               False               [('0.243', '0.279'), ('0.263', '0.185'), ('0.246', '0.264'), ('0.244', '0.268'), ('0.248', '0.256')]('0.2488', '0.2504')
MLP                 ngram_notes         4                   2                   identity            False               False               [('0.243', '0.279'), ('0.263', '0.185'), ('0.246', '0.264'), ('0.244', '0.268'), ('0.248', '0.256')]('0.2488', '0.2504')
MLP                 ngram_notes         4                   3                   identity            False               False               [('0.242', '0.263'), ('0.264', '0.190'), ('0.245', '0.262'), ('0.247', '0.261'), ('0.249', '0.258')]('0.2494', '0.2468')
MLP                 ngram_notes         4                   3                   identity            False               False               [('0.242', '0.263'), ('0.264', '0.190'), ('0.245', '0.262'), ('0.247', '0.261'), ('0.249', '0.258')]('0.2494', '0.2468')
MLP                 ngram_notes         4                   3                   identity            False               False               [('0.242', '0.263'), ('0.264', '0.190'), ('0.245', '0.262'), ('0.247', '0.261'), ('0.249', '0.258')]('0.2494', '0.2468')
MLP                 ngram_notes         4                   4                   identity            False               False               [('0.246', '0.255'), ('0.263', '0.186'), ('0.248', '0.258'), ('0.246', '0.262'), ('0.254', '0.245')]('0.2514', '0.2412')
MLP                 ngram_notes         4                   4                   identity            False               False               [('0.246', '0.255'), ('0.263', '0.186'), ('0.248', '0.258'), ('0.246', '0.262'), ('0.254', '0.245')]('0.2514', '0.2412')
MLP                 ngram_notes         4                   4                   identity            False               False               [('0.246', '0.255'), ('0.263', '0.186'), ('0.248', '0.258'), ('0.246', '0.262'), ('0.254', '0.245')]('0.2514', '0.2412')
MLP                 ngram_notes         4                   5                   identity            False               False               [('0.246', '0.255'), ('0.263', '0.189'), ('0.251', '0.253'), ('0.246', '0.262'), ('0.253', '0.250')]('0.2518', '0.2418')
MLP                 ngram_notes         4                   5                   identity            False               False               [('0.246', '0.255'), ('0.263', '0.189'), ('0.251', '0.253'), ('0.246', '0.262'), ('0.253', '0.250')]('0.2518', '0.2418')
MLP                 ngram_notes         4                   5                   identity            False               False               [('0.246', '0.255'), ('0.263', '0.189'), ('0.251', '0.253'), ('0.246', '0.262'), ('0.253', '0.250')]('0.2518', '0.2418')
MLP                 ngram_notes         4                   6                   identity            False               False               [('0.246', '0.257'), ('0.267', '0.195'), ('0.255', '0.247'), ('0.254', '0.250'), ('0.253', '0.253')]('0.2550', '0.2404')
MLP                 ngram_notes         4                   6                   identity            False               False               [('0.246', '0.257'), ('0.267', '0.195'), ('0.255', '0.247'), ('0.254', '0.250'), ('0.253', '0.253')]('0.2550', '0.2404')
MLP                 ngram_notes         4                   6                   identity            False               False               [('0.246', '0.257'), ('0.267', '0.195'), ('0.255', '0.247'), ('0.254', '0.250'), ('0.253', '0.253')]('0.2550', '0.2404')
MLP                 ngram_notes         4                   7                   identity            False               False               [('0.253', '0.255'), ('0.268', '0.197'), ('0.257', '0.251'), ('0.259', '0.257'), ('0.258', '0.249')]('0.2590', '0.2418')
MLP                 ngram_notes         4                   7                   identity            False               False               [('0.253', '0.255'), ('0.268', '0.197'), ('0.257', '0.251'), ('0.259', '0.257'), ('0.258', '0.249')]('0.2590', '0.2418')
MLP                 ngram_notes         4                   7                   identity            False               False               [('0.253', '0.255'), ('0.268', '0.197'), ('0.257', '0.251'), ('0.259', '0.257'), ('0.258', '0.249')]('0.2590', '0.2418')
MLP                 ngram_notes         4                   8                   identity            False               False               [('0.257', '0.255'), ('0.270', '0.200'), ('0.263', '0.253'), ('0.259', '0.260'), ('0.264', '0.248')]('0.2626', '0.2432')
MLP                 ngram_notes         4                   8                   identity            False               False               [('0.257', '0.255'), ('0.270', '0.200'), ('0.263', '0.253'), ('0.259', '0.260'), ('0.264', '0.248')]('0.2626', '0.2432')
MLP                 ngram_notes         4                   8                   identity            False               False               [('0.257', '0.255'), ('0.270', '0.200'), ('0.263', '0.253'), ('0.259', '0.260'), ('0.264', '0.248')]('0.2626', '0.2432')
MLP                 ngram_notes         5                   1                   identity            False               False               [('0.237', '0.284'), ('0.259', '0.182'), ('0.241', '0.263'), ('0.240', '0.265'), ('0.244', '0.243')]('0.2442', '0.2474')
MLP                 ngram_notes         5                   1                   identity            False               False               [('0.237', '0.284'), ('0.259', '0.182'), ('0.241', '0.263'), ('0.240', '0.265'), ('0.244', '0.243')]('0.2442', '0.2474')
MLP                 ngram_notes         5                   1                   identity            False               False               [('0.237', '0.284'), ('0.259', '0.182'), ('0.241', '0.263'), ('0.240', '0.265'), ('0.244', '0.243')]('0.2442', '0.2474')
MLP                 ngram_notes         5                   2                   identity            False               False               [('0.243', '0.282'), ('0.263', '0.185'), ('0.245', '0.261'), ('0.243', '0.260'), ('0.251', '0.257')]('0.2490', '0.2490')
MLP                 ngram_notes         5                   2                   identity            False               False               [('0.243', '0.282'), ('0.263', '0.185'), ('0.245', '0.261'), ('0.243', '0.260'), ('0.251', '0.257')]('0.2490', '0.2490')
MLP                 ngram_notes         5                   2                   identity            False               False               [('0.243', '0.282'), ('0.263', '0.185'), ('0.245', '0.261'), ('0.243', '0.260'), ('0.251', '0.257')]('0.2490', '0.2490')
MLP                 ngram_notes         5                   3                   identity            False               False               [('0.244', '0.263'), ('0.266', '0.191'), ('0.246', '0.261'), ('0.244', '0.253'), ('0.249', '0.253')]('0.2498', '0.2442')
MLP                 ngram_notes         5                   3                   identity            False               False               [('0.244', '0.263'), ('0.266', '0.191'), ('0.246', '0.261'), ('0.244', '0.253'), ('0.249', '0.253')]('0.2498', '0.2442')
MLP                 ngram_notes         5                   3                   identity            False               False               [('0.244', '0.263'), ('0.266', '0.191'), ('0.246', '0.261'), ('0.244', '0.253'), ('0.249', '0.253')]('0.2498', '0.2442')
MLP                 ngram_notes         5                   4                   identity            False               False               [('0.250', '0.258'), ('0.264', '0.192'), ('0.250', '0.264'), ('0.250', '0.259'), ('0.251', '0.247')]('0.2530', '0.2440')
MLP                 ngram_notes         5                   4                   identity            False               False               [('0.250', '0.258'), ('0.264', '0.192'), ('0.250', '0.264'), ('0.250', '0.259'), ('0.251', '0.247')]('0.2530', '0.2440')
MLP                 ngram_notes         5                   4                   identity            False               False               [('0.250', '0.258'), ('0.264', '0.192'), ('0.250', '0.264'), ('0.250', '0.259'), ('0.251', '0.247')]('0.2530', '0.2440')
MLP                 ngram_notes         5                   5                   identity            False               False               [('0.250', '0.253'), ('0.264', '0.196'), ('0.250', '0.262'), ('0.249', '0.259'), ('0.253', '0.244')]('0.2532', '0.2428')
MLP                 ngram_notes         5                   5                   identity            False               False               [('0.250', '0.253'), ('0.264', '0.196'), ('0.250', '0.262'), ('0.249', '0.259'), ('0.253', '0.244')]('0.2532', '0.2428')
MLP                 ngram_notes         5                   5                   identity            False               False               [('0.250', '0.253'), ('0.264', '0.196'), ('0.250', '0.262'), ('0.249', '0.259'), ('0.253', '0.244')]('0.2532', '0.2428')
MLP                 ngram_notes         5                   6                   identity            False               False               [('0.251', '0.256'), ('0.269', '0.198'), ('0.255', '0.249'), ('0.254', '0.251'), ('0.257', '0.247')]('0.2572', '0.2402')
MLP                 ngram_notes         5                   6                   identity            False               False               [('0.251', '0.256'), ('0.269', '0.198'), ('0.255', '0.249'), ('0.254', '0.251'), ('0.257', '0.247')]('0.2572', '0.2402')
MLP                 ngram_notes         5                   6                   identity            False               False               [('0.251', '0.256'), ('0.269', '0.198'), ('0.255', '0.249'), ('0.254', '0.251'), ('0.257', '0.247')]('0.2572', '0.2402')
MLP                 ngram_notes         5                   7                   identity            False               False               [('0.257', '0.256'), ('0.273', '0.203'), ('0.261', '0.248'), ('0.262', '0.259'), ('0.261', '0.248')]('0.2628', '0.2428')
MLP                 ngram_notes         5                   7                   identity            False               False               [('0.257', '0.256'), ('0.273', '0.203'), ('0.261', '0.248'), ('0.262', '0.259'), ('0.261', '0.248')]('0.2628', '0.2428')
MLP                 ngram_notes         5                   7                   identity            False               False               [('0.257', '0.256'), ('0.273', '0.203'), ('0.261', '0.248'), ('0.262', '0.259'), ('0.261', '0.248')]('0.2628', '0.2428')
MLP                 ngram_notes         5                   8                   identity            False               False               [('0.258', '0.260'), ('0.274', '0.201'), ('0.264', '0.245'), ('0.263', '0.255'), ('0.266', '0.241')]('0.2650', '0.2404')
MLP                 ngram_notes         5                   8                   identity            False               False               [('0.258', '0.260'), ('0.274', '0.201'), ('0.264', '0.245'), ('0.263', '0.255'), ('0.266', '0.241')]('0.2650', '0.2404')
MLP                 ngram_notes         5                   8                   identity            False               False               [('0.258', '0.260'), ('0.274', '0.201'), ('0.264', '0.245'), ('0.263', '0.255'), ('0.266', '0.241')]('0.2650', '0.2404')
MLP                 ngram_notes         6                   1                   identity            False               False               [('0.238', '0.284'), ('0.259', '0.182'), ('0.241', '0.262'), ('0.240', '0.266'), ('0.244', '0.243')]('0.2444', '0.2474')
MLP                 ngram_notes         6                   1                   identity            False               False               [('0.238', '0.284'), ('0.259', '0.182'), ('0.241', '0.262'), ('0.240', '0.266'), ('0.244', '0.243')]('0.2444', '0.2474')
MLP                 ngram_notes         6                   1                   identity            False               False               [('0.238', '0.284'), ('0.259', '0.182'), ('0.241', '0.262'), ('0.240', '0.266'), ('0.244', '0.243')]('0.2444', '0.2474')
MLP                 ngram_notes         6                   2                   identity            False               False               [('0.244', '0.277'), ('0.262', '0.185'), ('0.245', '0.264'), ('0.242', '0.255'), ('0.249', '0.255')]('0.2484', '0.2472')
MLP                 ngram_notes         6                   2                   identity            False               False               [('0.244', '0.277'), ('0.262', '0.185'), ('0.245', '0.264'), ('0.242', '0.255'), ('0.249', '0.255')]('0.2484', '0.2472')
MLP                 ngram_notes         6                   2                   identity            False               False               [('0.244', '0.277'), ('0.262', '0.185'), ('0.245', '0.264'), ('0.242', '0.255'), ('0.249', '0.255')]('0.2484', '0.2472')
MLP                 ngram_notes         6                   3                   identity            False               False               [('0.243', '0.263'), ('0.267', '0.189'), ('0.249', '0.265'), ('0.247', '0.251'), ('0.251', '0.253')]('0.2514', '0.2442')
MLP                 ngram_notes         6                   3                   identity            False               False               [('0.243', '0.263'), ('0.267', '0.189'), ('0.249', '0.265'), ('0.247', '0.251'), ('0.251', '0.253')]('0.2514', '0.2442')
MLP                 ngram_notes         6                   3                   identity            False               False               [('0.243', '0.263'), ('0.267', '0.189'), ('0.249', '0.265'), ('0.247', '0.251'), ('0.251', '0.253')]('0.2514', '0.2442')
MLP                 ngram_notes         6                   4                   identity            False               False               [('0.250', '0.260'), ('0.268', '0.194'), ('0.253', '0.262'), ('0.250', '0.262'), ('0.255', '0.249')]('0.2552', '0.2454')
MLP                 ngram_notes         6                   4                   identity            False               False               [('0.250', '0.260'), ('0.268', '0.194'), ('0.253', '0.262'), ('0.250', '0.262'), ('0.255', '0.249')]('0.2552', '0.2454')
MLP                 ngram_notes         6                   4                   identity            False               False               [('0.250', '0.260'), ('0.268', '0.194'), ('0.253', '0.262'), ('0.250', '0.262'), ('0.255', '0.249')]('0.2552', '0.2454')
MLP                 ngram_notes         6                   5                   identity            False               False               [('0.251', '0.257'), ('0.269', '0.196'), ('0.254', '0.258'), ('0.252', '0.261'), ('0.255', '0.250')]('0.2562', '0.2444')
MLP                 ngram_notes         6                   5                   identity            False               False               [('0.251', '0.257'), ('0.269', '0.196'), ('0.254', '0.258'), ('0.252', '0.261'), ('0.255', '0.250')]('0.2562', '0.2444')
MLP                 ngram_notes         6                   5                   identity            False               False               [('0.251', '0.257'), ('0.269', '0.196'), ('0.254', '0.258'), ('0.252', '0.261'), ('0.255', '0.250')]('0.2562', '0.2444')
MLP                 ngram_notes         6                   6                   identity            False               False               [('0.252', '0.257'), ('0.275', '0.195'), ('0.256', '0.249'), ('0.256', '0.244'), ('0.257', '0.248')]('0.2592', '0.2386')
MLP                 ngram_notes         6                   6                   identity            False               False               [('0.252', '0.257'), ('0.275', '0.195'), ('0.256', '0.249'), ('0.256', '0.244'), ('0.257', '0.248')]('0.2592', '0.2386')
MLP                 ngram_notes         6                   6                   identity            False               False               [('0.252', '0.257'), ('0.275', '0.195'), ('0.256', '0.249'), ('0.256', '0.244'), ('0.257', '0.248')]('0.2592', '0.2386')
MLP                 ngram_notes         6                   7                   identity            False               False               [('0.256', '0.261'), ('0.277', '0.195'), ('0.261', '0.251'), ('0.263', '0.250'), ('0.262', '0.245')]('0.2638', '0.2404')
